PhD,Ing/Mgr,Absolvent,ContractType,Source_median_salary,Source_min_salary,Source_max_salary,Category_median_salary,Category_min_salary,Category_max_salary,Company_median_salary,Company_min_salary,Company_max_salary,Elastic_min,Elastic_max,Elastic_avg,SalaryNormalized,desctiption_above_project,desctiption_above_design,desctiption_above_senior,desctiption_above_agil,desctiption_above_implement,desctiption_above_technic,desctiption_above_technolog,desctiption_above_develop,desctiption_above_strategi,desctiption_above_architectur,des_under_toilet,des_under_hour,des_under_demi,des_under_telephon,des_under_mondai,des_under_commi,des_under_duti,des_under_fridai,des_under_week,des_under_meal,title_above_architect,title_above_manag,title_above_director,title_above_princip,title_above_senior,title_above_optometrist,title_above_develop,title_above_ax,title_above_engin,title_above_project,title_under_receptionist,title_under_cleaner,title_under_parti,title_under_de,title_under_assist,title_under_demi,title_under_driver,title_under_clerk,title_under_cook,title_under_commi
0,0,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,21500,27500,"24988,70878",25000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,,27500,5040,100000,32500,5088,192000,32000,17500,50000,30000,45000,"39144,79393",30000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,27500,84000,"44869,44589",30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,25000,52500,"33042,77327",27500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,21500,27500,"25099,88749",25000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,,27500,5040,100000,32500,5088,192000,32000,17500,50000,25000,30000,"27013,63908",25000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,33750,22500,85000,50000,80000,"67809,94044",75000,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
0,0,1,,27500,5040,100000,29040,5088,100000,27000,13457,43500,23000,27500,"24881,0926",22000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,,27500,5040,100000,29040,5088,100000,27000,13457,43500,22000,27500,"24615,4754",23000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,33750,22500,85000,35000,85000,"69439,68713",85000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,34500,5000,200000,"21409,5",15000,62700,21000,24000,"23304,09266",21000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,28128,5000,192000,28750,20750,55000,32500,45000,"36531,77406",37500,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,,27500,5040,100000,30000,5000,144000,32000,17500,50000,30000,60000,"42783,0093",45000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,30000,5000,144000,32000,17500,50000,35000,39500,"38563,6747",40000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,part_time,23000,5055,150000,21500,5000,150000,17000,10723,45000,15000,17500,"16002,47987",16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,25710,16500,45000,21000,32500,"28421,77456",22000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,,27500,5040,100000,32500,5088,192000,33750,22500,85000,65000,85000,"76579,2501",85000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,17000,10723,45000,14500,18000,"15991,51095",18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,35000,40000,"38151,377",39500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,40000,17801,96000,33500,40000,"37853,09212",33500,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,,27500,5040,100000,32500,5088,192000,32000,17500,50000,39500,45000,"41795,44073",39500,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,20000,12500,50000,16320,18000,"17254,1304",17280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,,27500,5040,100000,32500,5088,192000,32000,17500,50000,31500,35000,"32072,56497",41500,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,31500,41500,"35652,37557",31500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,,27500,5040,100000,32500,5088,192000,32000,17500,50000,35500,72000,"47483,67783",32500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,18000,7500,55000,18000,26000,"22176,51269",24000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,,27500,5040,100000,32500,5088,192000,32000,17500,50000,54999,55000,"54999,79057",41500,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,full_time,23000,5055,150000,21500,5000,150000,18000,7500,55000,15500,18000,"16265,64271",16000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,,23000,5055,150000,21500,5000,150000,18000,7500,55000,23000,28000,"26004,71669",26000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,,23000,5055,150000,21500,5000,150000,26000,8000,55000,28500,30000,"28992,87654",31500,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,36000,5250,65000,29000,35000,"33288,51626",30000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,,27500,5040,100000,40000,5000,190809,33750,22500,85000,30000,45000,"35083,66184",32500,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,40000,5000,190809,33750,22500,85000,40000,45000,"42299,45407",45000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,full_time,27500,5040,100000,40000,5000,190809,33750,22500,85000,17500,96000,"42830,79237",25000,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,,27500,5040,100000,40000,5000,190809,25710,16500,45000,16500,100000,"51869,34447",21000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,18000,7500,55000,15500,18000,"17361,83102",18000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,18000,7500,55000,15500,18000,"17238,46554",18000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,,23000,5055,150000,21500,5000,150000,18000,7500,55000,14300,24000,"20643,66549",19000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0,1,1,,27500,5040,100000,40000,5000,190809,33750,22500,85000,26500,65000,"38171,24737",30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27500,5040,100000,32500,5088,192000,40000,17801,96000,25000,76800,"49125,3821",48000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
